DEPTH,GR,RHOB,VP,VS
808.234934,93.3324,2.4774,2.855865818,1.300316292
808.398976,91.8664,2.4858,2.87206577,1.304505209
808.563018,93.6402,2.4942,2.890606385,1.308720641
808.72706,99.4287,2.5026,2.879881084,1.312963404
808.891102,100.3101,2.5099,2.867645099,1.308438615
809.055144,104.097,2.5076,2.855515325,1.303944905
809.219186,98.6209,2.5056,2.843485081,1.299481956
809.383228,97.5529,2.5016,2.831555779,1.295049453
809.54727,90.6776,2.4956,2.819728761,1.289694126
809.711312,94.9809,2.4896,2.806981263,1.30167236
809.875354,96.0415,2.4836,2.821266036,1.317305498
810.039396,104.8664,2.4786,2.834312575,1.333318709
810.203438,104.9445,2.4807,2.903000818,1.349726026
810.36748,106.4014,2.4824,2.964196149,1.366542179
810.531522,102.4312,2.4841,3.028024028,1.38378264
810.695564,99.8148,2.4858,3.106552198,1.401463675
810.859606,98.2077,2.4875,3.075373805,1.419602391
811.023648,96.0807,2.4891,3.041630728,1.438216792
811.18769,95.014,2.476,2.994691401,1.457325837
811.351732,91.9905,2.4682,2.952770114,1.476949509
811.515774,91.4305,2.4734,2.912003514,1.462733364
811.679816,94.502,2.5047,2.862184052,1.413715313
811.843858,98.6232,2.5025,2.862184052,1.36787605
812.0079,92.4902,2.4995,2.862184052,1.324915499
812.171942,91.9379,2.4971,2.862184052,1.345159039
812.335984,96.8804,2.4947,2.862184052,1.366030173
812.500026,102.0318,2.4923,2.862184052,1.387559808
812.664068,102.897,2.4891,2.979364287,1.409778303
812.82811,96.5321,2.4949,2.979364287,1.432720605
812.992152,92.9412,2.5047,2.983946507,1.456421276
813.156194,92.2197,2.5047,2.989820976,1.479837171
813.320236,90.2611,2.5047,2.995718621,1.433911588
813.484278,96.7878,2.5047,3.001639579,1.392496737
813.64832,97.7253,2.5047,3.010177028,1.337087782
813.812362,99.2919,2.5064,2.990076147,1.347548572
813.976404,98.6768,2.5094,2.955166308,1.366463148
814.140446,98.9856,2.5124,2.921065022,1.385916263
814.304488,96.0559,2.5151,2.887739048,1.405931251
814.46853,98.0948,2.5118,2.855164919,1.422003216
814.632572,100.7548,2.5099,2.823317475,1.365949977
814.796614,102.0352,2.4964,2.806981263,1.323109003
814.960656,98.67,2.4839,2.806981263,1.272776734
815.124698,93.3856,2.4846,2.824992194,1.286590544
815.28874,97.0219,2.4856,2.849729942,1.305764859
815.452782,99.6993,2.4866,2.874904762,1.325519337
815.616824,101.3213,2.4876,2.90052558,1.34588012
815.780866,99.5853,2.4886,2.926609974,1.366876782
815.944908,101.4966,2.4916,2.953167779,1.388538951
816.10895,104.5858,2.4964,2.980212,1.410898125
816.272992,101.5844,2.5011,3.010177028,1.436033561
816.437034,94.7842,2.5059,2.985858221,1.39625389
816.601076,86.976,2.5099,2.959674341,1.355139416
816.765118,88.1577,2.5076,2.933945697,1.316377587
816.92916,89.2619,2.5047,2.908657745,1.29543364
817.093202,91.7851,2.5055,2.883804713,1.306950163
817.257244,94.5604,2.507,2.859370115,1.315099091
